1300	3
868	10
819	20
121	3
2222	20
1304	20
1027	20
2199	3
1544	20
2199	2
1623	10
1027	5
1065	20
83	5
1652	1
518	1
2221	20
1815	3
2146	2
1457	1
371	3
1143	2
1162	2
1567	5
1567	3
1155	20
165	5
670	20
2221	3
2009	5
670	20
937	1
21	3
1538	20
649	1
1807	10
1535	20
2029	10
221	20
1143	2
1234	10
1026	20
462	3
253	3
935	10
1022	1
208	20
1022	5
1300	3
12	20
1544	20
178	20
1821	1
1304	3
864	3
934	10
827	20
564	1
1065	3
2384	1
1027	20
471	10
754	3
2306	1
2133	3
471	20
1804	10
374	3
1264	5
1958	20
1807	5
157	10
97	1
2379	3
2218	3
1404	10
1892	2
1697	20
1264	1
2009	20
1157	3
2379	10
1516	1
1652	3
76	1
1807	20
90	2
355	5
253	3
1782	20
868	20
1555	20
736	2
1307	2
2132	20
1277	5
244	3
1027	10
881	20
1214	1
2092	3
820	2
2306	5
1315	10
178	10
1072	20
1016	1
2222	10
1022	1
1697	10
374	2
382	5
367	1
97	1
76	2
1567	3
1260	3
2383	2
2229	20
1525	10
2029	10
1016	1
1155	5
355	5
1639	20
1485	20
2379	3
2355	3
1162	10
1640	10
1143	3
2177	20
1863	1
2133	3
178	20
1525	5
1214	1
2161	3
1588	3
1064	1
221	5
306	1
1370	20
1307	1
1782	3
2029	20
83	3
417	2
1155	20
1027	2
1457	1
970	5
445	3
1821	1
390	1
2222	5
127	10
624	20
2161	3
769	3
2029	20
1277	5
511	20
1234	3
1645	2
367	1
9	10
1315	1
1022	3
643	3
1863	3
309	1
1856	1
1072	10
1360	20
1387	2
1793	5
390	1
1958	20
243	1
564	1
1205	3
208	5
65	3
2212	3
2177	10
65	3
1588	1
462	5
1782	2
754	3
2229	10
2359	20
1270	10
2212	10
417	2
624	20
868	20
1205	3
382	2
867	5
1567	3
810	3
1782	5
1687	2
12	10
2161	3
244	3
1926	3
448	3
649	1
1652	3
844	20
1360	10
1329	3
2293	10
2306	3
2368	5
1065	20
807	1
2177	20
2127	1
1538	20
178	20
1815	20
455	20
1085	1
1019	5
277	20
1264	1
212	3
2133	3
367	1
670	20
2384	20
1525	10
1205	3
1538	20
1260	20
1815	10
1801	2
1307	3
1315	5
1249	1
97	2
62	2
1143	1
1555	5
1016	1
1687	5
564	1
352	20
1732	20
1740	3
448	3
611	2
846	20
820	2
2243	5
382	20
417	20
1260	20
1072	3
430	3
1277	20
1260	10
1300	2
127	20
178	20
2293	5
1300	3
2009	10
769	3
2127	1
21	1
1163	3
1522	3
2208	3
2084	2
1821	1
1457	1
595	20
2336	1
127	20
1145	3
2132	3
90	5
1525	20
1016	1
1016	1
1145	3
2355	20
868	10
736	3
2030	1
76	5
564	1
1360	20
448	2
390	1
84	3
243	1
1	3
643	3
233	3
21	2
670	5
1	3
1645	1
881	20
97	3
1315	10
90	3
1393	1
430	2
1652	3
741	3
1892	1
1315	1
2229	20
343	1
2229	3
515	10
208	20
21	3
165	20
62	1
624	3
279	2
1206	20
1042	10
881	5
1915	5
643	1
473	10
455	3
1157	3
1093	3
2032	1
1091	3
221	20
1065	20
473	10
1567	3
1634	2
741	1
1436	3
1485	20
1234	1
770	10
21	3
1085	1
751	3
84	2
2230	3
1450	3
564	1
518	1
2283	5
2208	20
165	5
1769	10
165	20
855	20
83	5
1997	2
2248	1
1270	20
1915	20
1143	2
1042	5
9	10
65	1
504	10
1804	5
801	20
455	5
1721	1
244	1
2030	1
97	2
2221	20
1972	10
2384	1
2285	20
1522	3
121	3
649	1
736	1
1734	3
1639	10
2146	1
2092	5
83	3
271	2
2127	2
1201	20
358	2
2128	3
1	3
2222	3
518	1
1756	3
741	3
1915	20
1652	20
1801	3
1300	3
624	5
1300	3
113	1
2229	10
34	10
253	3
358	3
233	2
2132	20
68	1
1022	2
1162	5
2142	5
1404	10
1958	3
212	3
1863	5
934	2
1471	10
2383	3
1051	5
1064	1
1404	2
2359	10
864	2
1623	10
1360	10
84	5
2248	2
956	10
90	3
400	10
1801	2
1538	10
2218	3
1958	3
1915	5
1782	3
810	3
1935	2
2139	5
1022	1
2368	10
1989	2
1205	2
1658	10
1615	5
2229	5
399	3
1143	3
1000	20
143	3
867	10
1320	20
1546	3
801	10
1856	1
352	20
2142	3
127	20
375	10
1	1
2218	2
426	3
2248	1
1815	10
76	5
473	20
868	20
1234	5
935	20
34	10
1989	20
1085	2
855	5
1915	10
1567	3
504	5
2285	10
1157	3
1588	3
127	20
649	1
1815	20
221	10
471	20
1450	3
1051	10
881	20
471	20
1623	20
374	1
934	10
1771	10
881	10
279	1
1111	1
2216	20
113	1
1915	20
2209	3
1370	2
239	5
1214	1
462	3
62	3
1972	2
1804	5
2218	2
1863	1
1856	1
2161	3
400	20
1697	20
670	20
2222	10
1214	1
12	20
1658	20
1315	2
1782	3
212	1
1329	2
371	5
1457	1
1367	1
1264	1
643	10
403	20
1717	5
855	20
2182	1
1315	1
253	1
2243	3
2306	5
1059	2
1059	3
1874	2
511	20
244	3
1740	5
1732	2
2278	20
1260	10
864	2
358	3
1915	10
1889	20
2356	3
417	5
2142	5
2132	20
2032	1
210	5
399	1
1360	5
221	20
1157	3
1915	20
1721	1
2208	3
1016	2
1892	1
1793	3
62	3
1471	20
1457	1
1300	3
867	20
239	5
2212	3
12	20
2356	3
1640	20
253	3
970	20
2139	2
1732	20
1277	1
1690	2
448	2
239	10
355	20
390	1
1362	5
934	1
518	1
143	3
2030	3
1315	1
801	10
649	1
2229	20
867	20
1059	20
1732	20
1163	3
971	3
168	20
1477	5
1856	1
1017	20
1111	1
374	1
1911	1
1205	1
935	20
121	1
624	20
1782	10
1740	1
1522	3
309	1
374	1
208	5
1721	3
306	1
2244	5
856	10
2139	3
801	20
740	20
397	10
819	10
1615	3
2032	1
1989	20
1837	5
168	10
464	20
233	3
643	5
611	10
2182	3
1205	5
1457	2
2030	1
1730	2
1059	3
1567	3
670	10
498	3
1329	3
1273	10
430	2
717	1
1214	1
867	20
1769	20
1880	1
643	1
801	20
473	20
518	1
1804	10
271	5
436	20
34	5
855	10
1609	1
1457	1
2199	1
208	20
1300	3
1538	5
827	3
1019	1
10	1
2359	10
931	1
1516	1
670	20
1609	1
2379	3
643	3
923	3
934	1
1874	2
740	10
1465	1
970	5
1241	20
1370	20
430	3
1889	10
